"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"6:17:25.4395810 PM","Notepad.exe","9160","Load Image","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2409.9.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe","SUCCESS","Image Base: 0x7ff6cec10000, Image Size: 0x1aa000"
"6:17:25.4396664 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x7ffe474d0000, Image Size: 0x217000"
"6:17:25.4410976 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x7ffe47010000, Image Size: 0xc4000"
"6:17:25.4412640 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x7ffe44dc0000, Image Size: 0x3b7000"
"6:17:25.4429280 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\shlwapi.dll","SUCCESS","Image Base: 0x7ffe45f60000, Image Size: 0x5e000"
"6:17:25.4431344 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\msvcrt.dll","SUCCESS","Image Base: 0x7ffe45570000, Image Size: 0xa7000"
"6:17:25.4433552 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x7ffe45200000, Image Size: 0x1af000"
"6:17:25.4435915 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\win32u.dll","SUCCESS","Image Base: 0x7ffe44b30000, Image Size: 0x26000"
"6:17:25.4438495 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\gdi32.dll","SUCCESS","Image Base: 0x7ffe47460000, Image Size: 0x29000"
"6:17:25.4440614 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\gdi32full.dll","SUCCESS","Image Base: 0x7ffe44950000, Image Size: 0x118000"
"6:17:25.4442536 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\msvcp_win.dll","SUCCESS","Image Base: 0x7ffe44d20000, Image Size: 0x9a000"
"6:17:25.4444512 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\ucrtbase.dll","SUCCESS","Image Base: 0x7ffe44c00000, Image Size: 0x111000"
"6:17:25.4447454 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\shell32.dll","SUCCESS","Image Base: 0x7ffe456b0000, Image Size: 0x869000"
"6:17:25.4449092 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\ole32.dll","SUCCESS","Image Base: 0x7ffe46e60000, Image Size: 0x1a5000"
"6:17:25.4451357 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\combase.dll","SUCCESS","Image Base: 0x7ffe467b0000, Image Size: 0x38e000"
"6:17:25.4453991 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\rpcrt4.dll","SUCCESS","Image Base: 0x7ffe46ca0000, Image Size: 0x114000"
"6:17:25.4455542 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\advapi32.dll","SUCCESS","Image Base: 0x7ffe46540000, Image Size: 0xb2000"
"6:17:25.4456617 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\sechost.dll","SUCCESS","Image Base: 0x7ffe46600000, Image Size: 0xa8000"
"6:17:25.4458609 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\bcrypt.dll","SUCCESS","Image Base: 0x7ffe44b60000, Image Size: 0x28000"
"6:17:25.4460435 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\crypt32.dll","SUCCESS","Image Base: 0x7ffe447e0000, Image Size: 0x166000"
"6:17:25.4462462 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\comdlg32.dll","SUCCESS","Image Base: 0x7ffe46440000, Image Size: 0xff000"
"6:17:25.4463804 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\SHCore.dll","SUCCESS","Image Base: 0x7ffe47200000, Image Size: 0xf9000"
"6:17:25.4468025 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\oleaut32.dll","SUCCESS","Image Base: 0x7ffe46b40000, Image Size: 0xd7000"
"6:17:25.4473443 PM","Notepad.exe","9160","Load Image","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.22621.3672_none_2713b9d173822955\comctl32.dll","SUCCESS","Image Base: 0x7ffe2b7a0000, Image Size: 0x293000"
"6:17:25.4474223 PM","Notepad.exe","9160","Load Image","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.22621.3672_none_2713b9d173822955\comctl32.dll","SUCCESS","Image Base: 0x1bc3ee10000, Image Size: 0x293000"
"6:17:25.4498419 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\propsys.dll","SUCCESS","Image Base: 0x7ffe40a50000, Image Size: 0x101000"
"6:17:25.4507875 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\urlmon.dll","SUCCESS","Image Base: 0x7ffe37d90000, Image Size: 0x1f0000"
"6:17:25.4523558 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\winspool.drv","SUCCESS","Image Base: 0x7ffe2d460000, Image Size: 0xa7000"
"6:17:25.4523891 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\icu.dll","SUCCESS","Image Base: 0x7ffe1fb80000, Image Size: 0x270000"
"6:17:25.4533417 PM","Notepad.exe","9160","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\msvcp140_atomic_wait.dll","SUCCESS","Image Base: 0x7ffe3b100000, Image Size: 0x14000"
"6:17:25.4533420 PM","Notepad.exe","9160","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\msvcp140.dll","SUCCESS","Image Base: 0x7ffdffe00000, Image Size: 0x8d000"
"6:17:25.4538735 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\dwmapi.dll","SUCCESS","Image Base: 0x7ffe41e90000, Image Size: 0x2b000"
"6:17:25.4542533 PM","Notepad.exe","9160","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\vcruntime140.dll","SUCCESS","Image Base: 0x7ffdffe90000, Image Size: 0x1e000"
"6:17:25.4543211 PM","Notepad.exe","9160","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\vcruntime140_1.dll","SUCCESS","Image Base: 0x7ffe1e1f0000, Image Size: 0xc000"
"6:17:25.4544452 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\uxtheme.dll","SUCCESS","Image Base: 0x7ffe41be0000, Image Size: 0xb1000"
"6:17:25.4580388 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\iertutil.dll","SUCCESS","Image Base: 0x7ffe379f0000, Image Size: 0x2be000"
"6:17:25.4586752 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\srvcli.dll","SUCCESS","Image Base: 0x7ffe379c0000, Image Size: 0x28000"
"6:17:25.4588170 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\netutils.dll","SUCCESS","Image Base: 0x7ffe43250000, Image Size: 0xc000"
"6:17:25.4638454 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\imm32.dll","SUCCESS","Image Base: 0x7ffe46dc0000, Image Size: 0x31000"
"6:17:25.4740391 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Image Base: 0x7ffe437f0000, Image Size: 0x18000"
"6:17:25.4744551 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\bcryptprimitives.dll","SUCCESS","Image Base: 0x7ffe45180000, Image Size: 0x7b000"
"6:17:25.4752077 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\clbcatq.dll","SUCCESS","Image Base: 0x7ffe470f0000, Image Size: 0xb0000"
"6:17:25.4772337 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\MrmCoreR.dll","SUCCESS","Image Base: 0x7ffe35e90000, Image Size: 0x116000"
"6:17:25.4787096 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\Windows.StateRepositoryClient.dll","SUCCESS","Image Base: 0x7ffe38c70000, Image Size: 0x3d000"
"6:17:25.4797918 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\Windows.StateRepositoryCore.dll","SUCCESS","Image Base: 0x7ffe38d60000, Image Size: 0x1a000"
"6:17:25.4989647 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\profapi.dll","SUCCESS","Image Base: 0x7ffe44710000, Image Size: 0x27000"
"6:17:25.5005249 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\AppXDeploymentClient.dll","SUCCESS","Image Base: 0x7ffe39690000, Image Size: 0x144000"
"6:17:25.5033899 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\Windows.UI.dll","SUCCESS","Image Base: 0x7ffe35080000, Image Size: 0x179000"
"6:17:25.5075642 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\BCP47mrm.dll","SUCCESS","Image Base: 0x7ffe34bf0000, Image Size: 0x32000"
"6:17:25.5179066 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\twinapi.appcore.dll","SUCCESS","Image Base: 0x7ffe3bdc0000, Image Size: 0x2a2000"
"6:17:25.5202394 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\WinTypes.dll","SUCCESS","Image Base: 0x7ffe425c0000, Image Size: 0x13f000"
"6:17:25.5234651 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\daxexec.dll","SUCCESS","Image Base: 0x7ffe2e0e0000, Image Size: 0x118000"
"6:17:25.5266836 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\container.dll","SUCCESS","Image Base: 0x7ffe2dec0000, Image Size: 0x44000"
"6:17:25.5267832 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\userenv.dll","SUCCESS","Image Base: 0x7ffe43cf0000, Image Size: 0x28000"
"6:17:25.5295790 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\ntmarta.dll","SUCCESS","Image Base: 0x7ffe43900000, Image Size: 0x34000"
"6:17:25.5318905 PM","Notepad.exe","9160","Load Image","C:\Windows\System32\capauthz.dll","SUCCESS","Image Base: 0x7ffe2e870000, Image Size: 0x60000"
"6:17:25.5400752 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2409.9.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe","SUCCESS","Image Base: 0x7ff6cec10000, Image Size: 0x1aa000"
"6:17:25.5401655 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x7ffe474d0000, Image Size: 0x217000"
"6:17:25.5414237 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x7ffe47010000, Image Size: 0xc4000"
